item_id,version_no,sort_order,category_key,validity_start,validity_end
agri530,1,,Geog/AgriReg,01/01/1990,
agri528,1,,Geog/AgriReg,01/01/1990,
agri526,1,,Geog/AgriReg,01/01/1990,
agri524,1,,Geog/AgriReg,01/01/1990,
agriSW,1,,Geog/AgriReg,01/01/1990,
agriNE,1,,Geog/AgriReg,01/01/1990,
agriNW,1,,Geog/AgriReg,01/01/1990,
W45000045,1,,Geog/BuiltUp,01/01/1990,
W45000046,1,,Geog/BuiltUp,01/01/1990,
W45000047,1,,Geog/BuiltUp,01/01/1990,
W45000048,1,,Geog/BuiltUp,01/01/1990,
W45000049,1,,Geog/BuiltUp,01/01/1990,
W45000100,1,,Geog/BuiltUp,01/01/1990,
W45000101,1,,Geog/BuiltUp,01/01/1990,
W45000102,1,,Geog/BuiltUp,01/01/1990,
W45000103,1,,Geog/BuiltUp,01/01/1990,
W45000104,1,,Geog/BuiltUp,01/01/1990,
W45000105,1,,Geog/BuiltUp,01/01/1990,
W45000106,1,,Geog/BuiltUp,01/01/1990,
W45000107,1,,Geog/BuiltUp,01/01/1990,
W45000108,1,,Geog/BuiltUp,01/01/1990,
W45000109,1,,Geog/BuiltUp,01/01/1990,
W45000110,1,,Geog/BuiltUp,01/01/1990,
W45000111,1,,Geog/BuiltUp,01/01/1990,
W45000112,1,,Geog/BuiltUp,01/01/1990,
W45000113,1,,Geog/BuiltUp,01/01/1990,
W45000114,1,,Geog/BuiltUp,01/01/1990,
W45000115,1,,Geog/BuiltUp,01/01/1990,
W45000116,1,,Geog/BuiltUp,01/01/1990,
W45000117,1,,Geog/BuiltUp,01/01/1990,
W45000118,1,,Geog/BuiltUp,01/01/1990,
W45000119,1,,Geog/BuiltUp,01/01/1990,
W45000120,1,,Geog/BuiltUp,01/01/1990,
W45000121,1,,Geog/BuiltUp,01/01/1990,
W45000122,1,,Geog/BuiltUp,01/01/1990,
W45000123,1,,Geog/BuiltUp,01/01/1990,
W45000124,1,,Geog/BuiltUp,01/01/1990,
W45000125,1,,Geog/BuiltUp,01/01/1990,
W45000126,1,,Geog/BuiltUp,01/01/1990,
W45000127,1,,Geog/BuiltUp,01/01/1990,
W45000128,1,,Geog/BuiltUp,01/01/1990,
W45000129,1,,Geog/BuiltUp,01/01/1990,
W45000130,1,,Geog/BuiltUp,01/01/1990,
W45000131,1,,Geog/BuiltUp,01/01/1990,
W45000132,1,,Geog/BuiltUp,01/01/1990,
W45000133,1,,Geog/BuiltUp,01/01/1990,
W45000134,1,,Geog/BuiltUp,01/01/1990,
W45000135,1,,Geog/BuiltUp,01/01/1990,
W45000136,1,,Geog/BuiltUp,01/01/1990,
W45000137,1,,Geog/BuiltUp,01/01/1990,
W45000138,1,,Geog/BuiltUp,01/01/1990,
W45000139,1,,Geog/BuiltUp,01/01/1990,
W45000140,1,,Geog/BuiltUp,01/01/1990,
W45000141,1,,Geog/BuiltUp,01/01/1990,
W45000142,1,,Geog/BuiltUp,01/01/1990,
W45000143,1,,Geog/BuiltUp,01/01/1990,
W45000144,1,,Geog/BuiltUp,01/01/1990,
W45000145,1,,Geog/BuiltUp,01/01/1990,
W45000146,1,,Geog/BuiltUp,01/01/1990,
W45000147,1,,Geog/BuiltUp,01/01/1990,
W45000148,1,,Geog/BuiltUp,01/01/1990,
W45000149,1,,Geog/BuiltUp,01/01/1990,
W45000200,1,,Geog/BuiltUp,01/01/1990,
W45000201,1,,Geog/BuiltUp,01/01/1990,
W45000450,1,,Geog/BuiltUp,01/01/1990,
W45000202,1,,Geog/BuiltUp,01/01/1990,
W45000203,1,,Geog/BuiltUp,01/01/1990,
W45000400,1,,Geog/BuiltUp,01/01/1990,
W45000150,1,,Geog/BuiltUp,01/01/1990,
W45000451,1,,Geog/BuiltUp,01/01/1990,
W45000300,1,,Geog/BuiltUp,01/01/1990,
W45000250,1,,Geog/BuiltUp,01/01/1990,
W45000204,1,,Geog/BuiltUp,01/01/1990,
W45000401,1,,Geog/BuiltUp,01/01/1990,
W45000151,1,,Geog/BuiltUp,01/01/1990,
W45000350,1,,Geog/BuiltUp,01/01/1990,
W45000452,1,,Geog/BuiltUp,01/01/1990,
W45000301,1,,Geog/BuiltUp,01/01/1990,
W45000251,1,,Geog/BuiltUp,01/01/1990,
W45000205,1,,Geog/BuiltUp,01/01/1990,
W45000402,1,,Geog/BuiltUp,01/01/1990,
W45000152,1,,Geog/BuiltUp,01/01/1990,
W45000453,1,,Geog/BuiltUp,01/01/1990,
W45000351,1,,Geog/BuiltUp,01/01/1990,
W45000302,1,,Geog/BuiltUp,01/01/1990,
W45000252,1,,Geog/BuiltUp,01/01/1990,
W45000206,1,,Geog/BuiltUp,01/01/1990,
W45000403,1,,Geog/BuiltUp,01/01/1990,
W45000153,1,,Geog/BuiltUp,01/01/1990,
W45000454,1,,Geog/BuiltUp,01/01/1990,
W45000352,1,,Geog/BuiltUp,01/01/1990,
W45000303,1,,Geog/BuiltUp,01/01/1990,
W45000253,1,,Geog/BuiltUp,01/01/1990,
W45000207,1,,Geog/BuiltUp,01/01/1990,
W45000404,1,,Geog/BuiltUp,01/01/1990,
W45000154,1,,Geog/BuiltUp,01/01/1990,
W45000455,1,,Geog/BuiltUp,01/01/1990,
W45000353,1,,Geog/BuiltUp,01/01/1990,
W45000304,1,,Geog/BuiltUp,01/01/1990,
W45000254,1,,Geog/BuiltUp,01/01/1990,
W45000208,1,,Geog/BuiltUp,01/01/1990,
W45000405,1,,Geog/BuiltUp,01/01/1990,
W45000155,1,,Geog/BuiltUp,01/01/1990,
W45000456,1,,Geog/BuiltUp,01/01/1990,
W45000354,1,,Geog/BuiltUp,01/01/1990,
W45000305,1,,Geog/BuiltUp,01/01/1990,
W45000255,1,,Geog/BuiltUp,01/01/1990,
W45000209,1,,Geog/BuiltUp,01/01/1990,
W45000406,1,,Geog/BuiltUp,01/01/1990,
W45000156,1,,Geog/BuiltUp,01/01/1990,
W45000457,1,,Geog/BuiltUp,01/01/1990,
W45000355,1,,Geog/BuiltUp,01/01/1990,
W45000306,1,,Geog/BuiltUp,01/01/1990,
W45000256,1,,Geog/BuiltUp,01/01/1990,
W45000210,1,,Geog/BuiltUp,01/01/1990,
