item_id,version_no,category_key,lang,description,notes
agri530,1,Geog/AgriReg,cy-gb,Sir Gaerfyrddin,
agri528,1,Geog/AgriReg,cy-gb,Sir Benfro,
agri526,1,Geog/AgriReg,cy-gb,Ceredigion,
agri524,1,Geog/AgriReg,cy-gb,Powys,
agriSW,1,Geog/AgriReg,cy-gb,De Cymru,
agriNE,1,Geog/AgriReg,cy-gb,Dwyrain Gogledd Cymru,
agriNW,1,Geog/AgriReg,cy-gb,Gorllewin Gogledd Cymru,
W45000045,1,Geog/BuiltUp,cy-gb,Mynydd Marian,
W45000046,1,Geog/BuiltUp,cy-gb,Dwygyfylchi,
W45000047,1,Geog/BuiltUp,cy-gb,Gorsedd,
W45000048,1,Geog/BuiltUp,cy-gb,Gwalchmai,
W45000049,1,Geog/BuiltUp,cy-gb,Llansanffraid Glan Conwy,
W45000100,1,Geog/BuiltUp,cy-gb,Sychdyn,
W45000101,1,Geog/BuiltUp,cy-gb,Niwbwrch,
W45000102,1,Geog/BuiltUp,cy-gb,Dwyran,
W45000103,1,Geog/BuiltUp,cy-gb,Llansannan,
W45000104,1,Geog/BuiltUp,cy-gb,Bethel,
W45000105,1,Geog/BuiltUp,cy-gb,New Brighton,
W45000106,1,Geog/BuiltUp,cy-gb,Cilcain,
W45000107,1,Geog/BuiltUp,cy-gb,Pantymwyn,
W45000108,1,Geog/BuiltUp,cy-gb,Broughton (Flintshire),
W45000109,1,Geog/BuiltUp,cy-gb,Gwernaffield-y-Waun,
W45000110,1,Geog/BuiltUp,cy-gb,Bwcle,
W45000111,1,Geog/BuiltUp,cy-gb,Mynydd Isa,
W45000112,1,Geog/BuiltUp,cy-gb,Penisa'r Waun,
W45000113,1,Geog/BuiltUp,cy-gb,Yr Wyddgrug,
W45000114,1,Geog/BuiltUp,cy-gb,Llanrug,
W45000115,1,Geog/BuiltUp,cy-gb,Trefriw,
W45000116,1,Geog/BuiltUp,cy-gb,Clwt-y-bont,
W45000117,1,Geog/BuiltUp,cy-gb,Caernarfon,
W45000118,1,Geog/BuiltUp,cy-gb,Gwernymynydd,
W45000119,1,Geog/BuiltUp,cy-gb,Padeswood,
W45000120,1,Geog/BuiltUp,cy-gb,Llanrwst,
W45000121,1,Geog/BuiltUp,cy-gb,Caeathro,
W45000122,1,Geog/BuiltUp,cy-gb,Higher Kinnerton,
W45000123,1,Geog/BuiltUp,cy-gb,Penyffordd,
W45000124,1,Geog/BuiltUp,cy-gb,Bontnewydd,
W45000125,1,Geog/BuiltUp,cy-gb,Coed-Llai,
W45000126,1,Geog/BuiltUp,cy-gb,Llanberis,
W45000127,1,Geog/BuiltUp,cy-gb,Waunfawr,
W45000128,1,Geog/BuiltUp,cy-gb,Dinas Dinlle,
W45000129,1,Geog/BuiltUp,cy-gb,Rhuthun,
W45000130,1,Geog/BuiltUp,cy-gb,Treuddyn,
W45000131,1,Geog/BuiltUp,cy-gb,Rossett,
W45000132,1,Geog/BuiltUp,cy-gb,Rhostryfan,
W45000133,1,Geog/BuiltUp,cy-gb,Yr Hôb,
W45000134,1,Geog/BuiltUp,cy-gb,Betws-y-Coed,
W45000135,1,Geog/BuiltUp,cy-gb,Llay,
W45000136,1,Geog/BuiltUp,cy-gb,Groeslon,
W45000137,1,Geog/BuiltUp,cy-gb,Llandwrog,
W45000138,1,Geog/BuiltUp,cy-gb,Gresford,
W45000139,1,Geog/BuiltUp,cy-gb,Carmel,
W45000140,1,Geog/BuiltUp,cy-gb,Bradley (Wrexham),
W45000141,1,Geog/BuiltUp,cy-gb,Brynteg (Wrexham),
W45000142,1,Geog/BuiltUp,cy-gb,Bwlchgwyn,
W45000143,1,Geog/BuiltUp,cy-gb,Penygroes,
W45000144,1,Geog/BuiltUp,cy-gb,Gwersyllt,
W45000145,1,Geog/BuiltUp,cy-gb,Talysarn,
W45000146,1,Geog/BuiltUp,cy-gb,Gwynfryn,
W45000147,1,Geog/BuiltUp,cy-gb,Tanyfron,
W45000148,1,Geog/BuiltUp,cy-gb,Llanllyfni,
W45000149,1,Geog/BuiltUp,cy-gb,Minera,
W45000200,1,Geog/BuiltUp,cy-gb,Fairbourne,
W45000201,1,Geog/BuiltUp,cy-gb,Friog,
W45000450,1,Geog/BuiltUp,cy-gb,Bryn (Carmarthenshire),
W45000202,1,Geog/BuiltUp,cy-gb,Cegidfa,
W45000203,1,Geog/BuiltUp,cy-gb,Llwyngwril,
W45000400,1,Geog/BuiltUp,cy-gb,Cwm,
W45000150,1,Geog/BuiltUp,cy-gb,Coedpoeth,
W45000451,1,Geog/BuiltUp,cy-gb,Trinant,
W45000300,1,Geog/BuiltUp,cy-gb,Llandeilo,
W45000250,1,Geog/BuiltUp,cy-gb,Cribyn,
W45000204,1,Geog/BuiltUp,cy-gb,Gungrog,
W45000401,1,Geog/BuiltUp,cy-gb,Neyland,
W45000151,1,Geog/BuiltUp,cy-gb,Wrecsam,
W45000350,1,Geog/BuiltUp,cy-gb,Hook (Pembrokeshire),
W45000452,1,Geog/BuiltUp,cy-gb,Pontlliw,
W45000301,1,Geog/BuiltUp,cy-gb,Bwlch,
W45000251,1,Geog/BuiltUp,cy-gb,Aberporth,
W45000205,1,Geog/BuiltUp,cy-gb,Y Trallwng,
W45000402,1,Geog/BuiltUp,cy-gb,Pum Heol,
W45000152,1,Geog/BuiltUp,cy-gb,Pentre Maelor,
W45000453,1,Geog/BuiltUp,cy-gb,Llandyfai,
W45000351,1,Geog/BuiltUp,cy-gb,Capel Hendre,
W45000302,1,Geog/BuiltUp,cy-gb,Ffairfach,
W45000252,1,Geog/BuiltUp,cy-gb,Tresaith,
W45000206,1,Geog/BuiltUp,cy-gb,Llanfair Caereinion,
W45000403,1,Geog/BuiltUp,cy-gb,Fochriw,
W45000153,1,Geog/BuiltUp,cy-gb,Rhostyllen,
W45000454,1,Geog/BuiltUp,cy-gb,Aberfan,
W45000352,1,Geog/BuiltUp,cy-gb,Glyn Ebwy,
W45000303,1,Geog/BuiltUp,cy-gb,Roch,
W45000253,1,Geog/BuiltUp,cy-gb,Llanfair-ym-Muallt,
W45000207,1,Geog/BuiltUp,cy-gb,Pantperthog,
W45000404,1,Geog/BuiltUp,cy-gb,Aberdaugleddau,
W45000154,1,Geog/BuiltUp,cy-gb,Marchwiel,
