YearCode,AreaCode,Data,RowRef,Measure,NoteCodes
201314,512,0.947089947,2,2,
201314,512,5.065255732,1,2,
201314,512,537,2,1,
201314,512,2872,1,1,
201314,514,2.594091904,2,2,
201314,514,6.074398249,1,2,
201314,514,2371,2,1,
201314,514,5552,1,1,
201314,516,1.366740088,2,2,
201314,516,3.720264317,1,2,
201314,516,1241,2,1,
201314,516,3378,1,1,
201314,518,2.033195021,2,2,
201314,518,5.059474412,1,2,
201314,518,1470,2,1,
201314,518,3658,1,1,
201314,520,1.384491115,2,2,
201314,520,4.600161551,1,2,
201314,520,1714,2,1,
201314,520,5695,1,1,
201314,522,1.942016057,2,2,
201314,522,4.13559322,1,2,
201314,522,2177,2,1,
201314,522,4636,1,1,
201314,524,0.425867508,2,2,
201314,524,3.815457413,1,2,
201314,524,270,2,1,
201314,524,2419,1,1,
201314,526,3.234750462,2,2,
201314,526,4.519408503,1,2,
201314,526,1750,2,1,
201314,526,2445,1,1,
201314,528,3.43385214,2,2,
201314,528,4.821984436,1,2,
201314,528,3530,2,1,
201314,528,4957,1,1,
201314,530,1.84850336,2,2,
201314,530,4.862553451,1,2,
201314,530,3026,2,1,
201314,530,7960,1,1,
201314,532,1.553280596,2,2,
201314,532,4.872498837,1,2,
201314,532,3338,2,1,
201314,532,10471,1,1,
201314,534,2.531233867,2,2,
201314,534,4.655136809,1,2,
201314,534,4903,2,1,
201314,534,9017,1,1,
201314,536,2.568685377,2,2,
201314,536,6.146233383,1,2,
201314,536,3478,2,1,
201314,536,8322,1,1,
201314,538,0.401861252,2,2,
201314,538,5.621827411,1,2,
201314,538,475,2,1,
201314,538,6645,1,1,
201314,540,0.798540146,2,2,
201314,540,6.539416058,1,2,
201314,540,2188,2,1,
201314,540,17918,1,1,
201314,542,1.335117773,2,2,
201314,542,3.958244111,1,2,
201314,542,1247,2,1,
201314,542,3697,1,1,
201314,544,1.540311174,2,2,
201314,544,3.972654408,1,2,
201314,544,3267,2,1,
201314,544,8426,1,1,
201314,545,1.512309496,2,2,
201314,545,5.229777257,1,2,
201314,545,1290,2,1,
201314,545,4461,1,1,
201314,546,4.452681388,2,2,
201314,546,5.645899054,1,2,
201314,546,5646,2,1,
201314,546,7159,1,1,
201314,548,3.382413088,2,2,
201314,548,3.971370143,1,2,
201314,548,1654,2,1,
201314,548,1942,1,1,
201314,550,1.520437262,2,2,
201314,550,3.913973384,1,2,
201314,550,3199,2,1,
201314,550,8235,1,1,
201314,552,1.409836066,2,2,
201314,552,6.363319672,1,2,
201314,552,6880,2,1,
201314,552,31053,1,1,
201314,596,1.776738395,2,2,a
201314,596,5.13753911,1,2,a
201314,596,55651,2,1,t
201314,596,160918,1,1,t
201415,512,0.733719247,2,2,
201415,512,4.77568741,1,2,
201415,512,507,2,1,
201415,512,3300,1,1,
201415,514,3.853333333,2,2,
201415,514,7.71,1,2,
201415,514,3468,2,1,
201415,514,6939,1,1,
201415,516,1.234064786,2,2,
201415,516,4.374085684,1,2,
201415,516,1181,2,1,
201415,516,4186,1,1,
