item_id,version_no,category_key,lang,description,notes
512,2,Geog/LA,cy-gb,Ynys Mon V2,
514,2,Geog/LA,cy-gb,Gwynedd V2,
516,2,Geog/LA,cy-gb,Conwy V2,
518,2,Geog/LA,cy-gb,Sir Ddinbych V2,
520,2,Geog/LA,cy-gb,Sir Y Fflint V2,
522,2,Geog/LA,cy-gb,Wrecsam V2,
524,2,Geog/LA,cy-gb,Powys V2,
526,2,Geog/LA,cy-gb,Ceredigion V2,
528,2,Geog/LA,cy-gb,Sir Benfro V2,
530,2,Geog/LA,cy-gb,Sir Gaerfryddin V2,
532,2,Geog/LA,cy-gb,Abertawe V2,
534,2,Geog/LA,cy-gb,Castell-nedd Port Talbot V2,
536,2,Geog/LA,cy-gb,Pen-y-bont ar Ogwr V2,
538,2,Geog/LA,cy-gb,Bro Morgannwg V2,
540,2,Geog/LA,cy-gb,Rhondda Cynon Taf V2,
542,2,Geog/LA,cy-gb,Merthyr Tudful V2,
544,2,Geog/LA,cy-gb,Caerffili V2,
545,2,Geog/LA,cy-gb,Blaenau Gwent V2,
546,2,Geog/LA,cy-gb,Torfaen V2,
548,2,Geog/LA,cy-gb,Sir Fynwy V2,
550,2,Geog/LA,cy-gb,Casnewydd V2,
552,2,Geog/LA,cy-gb,Caerdydd V2,
596,2,Geog/ITL1,cy-gb,Cymru V2,
512,2,Geog/LA,en-gb,Isle of Anglesey V2,
514,2,Geog/LA,en-gb,Gwynedd V2,
516,2,Geog/LA,en-gb,Conwy V2,
518,2,Geog/LA,en-gb,Denbighshire V2,
520,2,Geog/LA,en-gb,Flintshire V2,
522,2,Geog/LA,en-gb,Wrexham V2,
524,2,Geog/LA,en-gb,Powys V2,
526,2,Geog/LA,en-gb,Ceredigion V2,
528,2,Geog/LA,en-gb,Pembrokeshire V2,
530,2,Geog/LA,en-gb,Carmarthenshire V2,
532,2,Geog/LA,en-gb,Swansea V2,
534,2,Geog/LA,en-gb,Neath Port Talbot V2,
536,2,Geog/LA,en-gb,Bridgend V2,
538,2,Geog/LA,en-gb,Vale of Glamorgan V2,
540,2,Geog/LA,en-gb,Rhondda Cynon Taf V2,
542,2,Geog/LA,en-gb,Merthyr Tydfil V2,
544,2,Geog/LA,en-gb,Caerphilly V2,
545,2,Geog/LA,en-gb,Blaenau Gwent V2,
546,2,Geog/LA,en-gb,Torfaen V2,
548,2,Geog/LA,en-gb,Monmouthshire V2,
550,2,Geog/LA,en-gb,Newport V2,
552,2,Geog/LA,en-gb,Cardiff V2,
596,2,Geog/ITL1,en-gb,Wales V2,
