item,hierarchy,lang,description,notes
W06000001,W15000001,en-gb,Isle of Anglesey,
W06000002,W15000001,en-gb,Gwynedd,
W06000003,W15000001,en-gb,Conwy,
W06000004,W15000001,en-gb,Denbighshire,
W06000005,W15000001,en-gb,Flintshire,
W06000006,W15000001,en-gb,Wrexham,
W06000008,W15000004,en-gb,Ceredigion,
W06000009,W15000004,en-gb,Pembrokeshire,
W06000010,W15000004,en-gb,Carmarthenshire,
W06000011,W15000003,en-gb,Swansea,
W06000012,W15000003,en-gb,Neath Port Talbot,
W06000013,W15000003,en-gb,Bridgend,
W06000014,W15000003,en-gb,Vale of Glamorgan,
W06000015,W15000003,en-gb,Cardiff,
W06000016,W15000003,en-gb,Rhondda Cynon Taf,
W06000018,W15000002,en-gb,Caerphilly,
W06000019,W15000002,en-gb,Blaenau Gwent,
W06000020,W15000002,en-gb,Torfaen,
W06000021,W15000002,en-gb,Monmouthshire,
W06000022,W15000002,en-gb,Newport,
W06000023,W15000004,en-gb,Powys,
W06000024,W15000003,en-gb,Merthyr Tydfil,
W15000001,W92000004,en-gb,North Wales Police,
W15000002,W92000004,en-gb,Gwent Police,
W15000003,W92000004,en-gb,South Wales Police,
W15000004,W92000004,en-gb,Dyfed-Powys Police,
W92000004,,en-gb,Total Welsh Police,
W06000001,W15000001,cy-gb,Ynys M?n,
W06000002,W15000001,cy-gb,Gwynedd,
W06000003,W15000001,cy-gb,Conwy,
W06000004,W15000001,cy-gb,Sir Ddinbych,
W06000005,W15000001,cy-gb,Sir y Flint,
W06000006,W15000001,cy-gb,Wrecsam,
W06000008,W15000004,cy-gb,Ceredigion,
W06000009,W15000004,cy-gb,Sir Benfro,
W06000010,W15000004,cy-gb,Sir Gaerfyrddin,
W06000011,W15000003,cy-gb,Abertawe,
W06000012,W15000003,cy-gb,Castell-nedd Port Talbot,
W06000013,W15000003,cy-gb,Pen-y-bont ar Ogwr,
W06000014,W15000003,cy-gb,Bro Morgannwg,
W06000015,W15000003,cy-gb,Caerdydd,
W06000016,W15000003,cy-gb,Rhondda Cynon Taf,
W06000018,W15000002,cy-gb,Caerffili,
W06000019,W15000002,cy-gb,Blaenau Gwent,
W06000020,W15000002,cy-gb,Tor-faen,
W06000021,W15000002,cy-gb,Sir Fynwy,
W06000022,W15000002,cy-gb,Casnewydd,
W06000023,W15000004,cy-gb,Powys,
W06000024,W15000003,cy-gb,Merthyr Tudful,
W15000001,W92000004,cy-gb,Heddlu Gogledd Cymru,
W15000002,W92000004,cy-gb,Heddlu Gwent,
W15000003,W92000004,cy-gb,Heddlu De Cymru,
W15000004,W92000004,cy-gb,Heddlu Dyfed Powys,
W92000004,,cy-gb,Cyfanswm Heddlu Cymru,
