item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
W06000001,W15000001,,Ynys M?n,Isle of Anglesey,,
W06000002,W15000001,,Gwynedd,Gwynedd,,
W06000003,W15000001,,Conwy,Conwy,,
W06000004,W15000001,,Sir Ddinbych,Denbighshire,,
W06000005,W15000001,,Sir y Flint,Flintshire,,
W06000006,W15000001,,Wrecsam,Wrexham,,
W06000008,W15000004,,Ceredigion,Ceredigion,,
W06000009,W15000004,,Sir Benfro,Pembrokeshire,,
W06000010,W15000004,,Sir Gaerfyrddin,Carmarthenshire,,
W06000011,W15000003,,Abertawe,Swansea,,
W06000012,W15000003,,Castell-nedd Port Talbot,Neath Port Talbot,,
W06000013,W15000003,,Pen-y-bont ar Ogwr,Bridgend,,
W06000014,W15000003,,Bro Morgannwg,Vale of Glamorgan,,
W06000015,W15000003,,Caerdydd,Cardiff,,
W06000016,W15000003,,Rhondda Cynon Taf,Rhondda Cynon Taf,,
W06000018,W15000002,,Caerffili,Caerphilly,,
W06000019,W15000002,,Blaenau Gwent,Blaenau Gwent,,
W06000020,W15000002,,Tor-faen,Torfaen,,
W06000021,W15000002,,Sir Fynwy,Monmouthshire,,
W06000022,W15000002,,Casnewydd,Newport,,
W06000023,W15000004,,Powys,Powys,,
W06000024,W15000003,,Merthyr Tudful,Merthyr Tydfil,,
W15000001,W92000004,,Heddlu Gogledd Cymru,North Wales Police,,
W15000002,W92000004,,Heddlu Gwent,Gwent Police,,
W15000003,W92000004,,Heddlu De Cymru,South Wales Police,,
W15000004,W92000004,,Heddlu Dyfed Powys,Dyfed-Powys Police,,
W92000004,,,Cyfanswm Heddlu Cymru,Total Welsh Police,,
