item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
W01000001,W06000001,20,Aberffraw a Rhosneigr 1,Aberffraw & Rhosneigr 1,,
W01000002,W06000001,21,Aberffraw a Rhosneigr 2,Aberffraw & Rhosneigr 2,,
W01000003,W06000001,2,Porth Amlwch,Amlwch Port,,
W01000004,W06000001,3,Amlwch Wledig,Amlwch Rural,,
W01000005,W06000001,29,Biwmares,Beaumaris,,
W01000006,W06000001,34,Botffordd,Bodffordd,,
W01000007,W06000001,42,Bodorgan,Bodorgan,,
W01000008,W06000001,38,Braint,Braint,,
W01000009,W06000001,22,Bryngwran,Bryngwran,,
W01000010,W06000001,25,Brynteg,Brynteg,,
W01000011,W06000001,39,Cadnant (Ynys M?n),Cadnant (Isle of Anglesey),,
W01000012,W06000001,35,Cefni,Cefni,,
W01000013,W06000001,30,Cwm Cadnant,Cwm Cadnant,,
W01000014,W06000001,36,Cyngar,Cyngar,,
W01000015,W06000001,40,Gwyngyll,Gwyngyll,,
W01000016,W06000001,7,Tref Caergybi,Holyhead Town,,
W01000017,W06000001,8,Kingsland,Kingsland,,
W01000018,W06000001,4,Llanbadrig,Llanbadrig,,
W01000019,W06000001,31,Llanbedr-goch,Llanbedrgoch,,
W01000020,W06000001,26,Llanddyfnan,Llanddyfnan,,
W01000021,W06000001,27,Llaneilian,Llaneilian,,
W01000022,W06000001,14,Llanfaethlu,Llanfaethlu,,
W01000023,W06000001,23,Llanfair-yn-Neubwll 1,Llanfair-yn-Neubwll 1,,
W01000024,W06000001,24,Llanfair-yn-Neubwll 2,Llanfair-yn-Neubwll 2,,
W01000025,W06000001,43,Llanfihangel Ysgeifiog,Llanfihangel Ysgeifiog,,
W01000026,W06000001,32,Llangoed,Llangoed,,
W01000027,W06000001,44,Llanidan,Llanidan,,
W01000028,W06000001,5,Llannerch-y-medd,Llannerch-y-medd,,
W01000029,W06000001,9,London Road,London Road,,
W01000030,W06000001,10,Maeshyfryd,Maeshyfryd,,
W01000031,W06000001,6,Mechell,Mechell,,
W01000032,W06000001,28,Moelfre,Moelfre,,
W01000033,W06000001,11,Morawelon,Morawelon,,
W01000034,W06000001,15,Parc a'r Mynydd,Parc a'r Mynydd,,
W01000035,W06000001,33,Pentraeth,Pentraeth,,
W01000036,W06000001,12,Porthyfelin 1,Porthyfelin 1,,
W01000037,W06000001,13,Porthyfelin 2,Porthyfelin 2,,
W01000038,W06000001,45,Rhosyr,Rhosyr,,
W01000039,W06000001,16,Trearddur 1,Trearddur 1,,
W01000040,W06000001,17,Trearddur 2,Trearddur 2,,
W01000041,W06000001,37,Tudur,Tudur,,
W01000042,W06000001,41,Tysilio,Tysilio,,
W01000043,W06000001,18,Fali 1,Valley 1,,
W01000044,W06000001,19,Fali 2,Valley 2,,
W01000047,W06000002,108,Abererch,Abererch,,
W01000048,W06000002,94,Abermaw 1,Abermaw 1,,
W01000049,W06000002,95,Abermaw 2,Abermaw 2,,
W01000050,W06000002,57,Arllechwedd,Arllechwedd,,
W01000051,W06000002,90,Y Bala,Bala,,
W01000052,W06000002,66,Bethel a Chwm-y-Glo 1,Bethel & Cwm-y-Glo 1,,
W01000053,W06000002,67,Bethel a Chwm-y-Glo 2,Bethel & Cwm-y-Glo 2,,
W01000054,W06000002,74,Bontnewydd,Bontnewydd,,
W01000056,W06000002,82,Bowydd a Rhiw,Bowydd and Rhiw,,
W01000057,W06000002,96,Brithdir a Llanfachreth/Ganllwyd/Llanelltyd,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,,
W01000059,W06000002,70,Cadnant (Gwynedd),Cadnant (Gwynedd),,
W01000060,W06000002,91,Corris/Mawddwy,Corris/Mawddwy,,
W01000061,W06000002,109,Cricieth,Criccieth,,
W01000062,W06000002,47,Deiniol,Deiniol,,
W01000063,W06000002,62,Deiniolen,Deiniolen,,
W01000064,W06000002,52,Dewi,Dewi,,
W01000065,W06000002,83,Diffwys a Maenofferen,Diffwys and Maenofferen,,
W01000066,W06000002,103,Dolbenmaen,Dolbenmaen,,
W01000067,W06000002,97,Dolgellau Gogledd,Dolgellau North,,
W01000068,W06000002,98,Dolgellau De,Dolgellau South,,
W01000069,W06000002,86,Dyffryn Ardudwy,Dyffryn Ardudwy,,
W01000070,W06000002,112,Efail-Newydd/Buan,Efail-newydd/Buan,,
W01000071,W06000002,58,Gerlan,Gerlan,,
W01000072,W06000002,53,Glyder,Glyder,,
W01000073,W06000002,78,Y Groeslon,Groeslon,,
W01000074,W06000002,87,Harlech,Harlech,,
W01000075,W06000002,54,Hendre (Gwynedd),Hendre (Gwynedd),,
W01000076,W06000002,48,Hirael a Garth 1,Hirael & Garth 1,,
W01000077,W06000002,49,Hirael a Garth 2,Hirael & Garth 2,,
W01000078,W06000002,110,Llanaelhaearn,Llanaelhaearn,,
W01000079,W06000002,88,Llanbedr,Llanbedr,,
W01000080,W06000002,117,Llanbedrog ac Aber-soch,Llanbedrog & Abersoch,,
W01000081,W06000002,63,Llanberis,Llanberis,,
W01000082,W06000002,92,Llandderfel a Llanuwchllyn 1,Llandderfel & Llanuwchllyn 1,,
W01000083,W06000002,93,Llandderfel a Llanuwchllyn 2,Llandderfel & Llanuwchllyn 2,,
W01000084,W06000002,118,Llanengan,Llanengan,,
W01000085,W06000002,99,Llangelynnin,Llangelynin,,
W01000086,W06000002,79,Llanllyfni a Chlynnog,Llanllyfni & Clynnog,,
W01000087,W06000002,68,Llanrug,Llanrug,,
W01000088,W06000002,75,Llanwnda,Llanwnda,,
W01000089,W06000002,111,Llanystumdwy,Llanystumdwy,,
W01000090,W06000002,55,Marchog 1,Marchog 1,,
W01000091,W06000002,50,Marchog 2,Marchog 2,,
W01000092,W06000002,51,Menai (Bangor),Menai (Bangor),,
W01000093,W06000002,71,Menai (Caernarfon),Menai (Caernarfon),,
W01000094,W06000002,113,Morfa Nefyn,Morfa Nefyn,,
W01000095,W06000002,114,Nefyn,Nefyn,,
W01000096,W06000002,59,Ogwen 1,Ogwen 1,,
W01000097,W06000002,60,Ogwen 2,Ogwen 2,,
W01000098,W06000002,72,Peblig (Caernarfon),Peblig (Caernarfon),,
W01000099,W06000002,64,Penisa'r-waun,Penisarwaun,,
W01000100,W06000002,104,Penrhyndeudraeth 1,Penrhyndeudraeth 1,,
W01000101,W06000002,89,Penrhyndeudraeth 2,Penrhyndeudraeth 2,,
W01000102,W06000002,56,Pentir 1,Pentir 1,,
W01000103,W06000002,65,Pentir 2,Pentir 2,,
W01000104,W06000002,80,Pen-y-groes (Gwynedd),Penygroes (Gwynedd),,
W01000105,W06000002,105,Porthmadog Dwyrain,Porthmadog East,,
W01000106,W06000002,106,Porthmadog Gorllewin,Porthmadog West,,
W01000107,W06000002,107,Porthmadog - Tremadog,Porthmadog - Tremadog,,
W01000108,W06000002,115,Pwllheli Gogledd,Pwllheli North,,
W01000109,W06000002,116,Pwllheli De,Pwllheli South,,
W01000110,W06000002,73,Seiont 1,Seiont 1,,
W01000111,W06000002,76,Seiont 2,Seiont 2,,
W01000112,W06000002,81,Talysarn,Talysarn,,
W01000113,W06000002,84,Teigl,Teigl,,
W01000114,W06000002,85,Trawsfynydd,Trawsfynydd,,
W01000115,W06000002,61,Tregarth a Mynydd Llandygai,Tregarth & Mynydd Llandygai,,
W01000116,W06000002,100,Tywyn 1,Tywyn 1,,
