item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
ATS,,6,Mynediad i Wasanaethau,Access to Services,,
COMS,,7,Diogelwch Cymunedol,Community Safety,,
ED,,5,Addysg,Education,,
EMPL,,3,Cyflogaeth,Employment,,
HEAL,,4,Iechyd,Health,,
HOUS,,9,Tai,Housing,,
INCOM,,2,Incwm,Income,,
PHYS,,8,Amgylchedd Ffisegol,Physical Environment,,
WIMD,,1,MALIC,WIMD,,
item,hierarchy,sort_order,description_cy,description_en,notes_cy,notes_en
ATS,,6,Mynediad i Wasanaethau,Access to Services,,
COMS,,7,Diogelwch Cymunedol,Community Safety,,
ED,,5,Addysg,Education,,
EMPL,,3,Cyflogaeth,Employment,,
HEAL,,4,Iechyd,Health,,
HOUS,,9,Tai,Housing,,
INCOM,,2,Incwm,Income,,
PHYS,,8,Amgylchedd Ffisegol,Physical Environment,,
WIMD,,1,MALIC,WIMD,,
