fact,value,Area_id,DataType_id,Domain_id
0,2,W01000002,QUIN,ATS
1,1,W01000002,QUIN,HOUS
2,5,W01000002,QUIN,COMS
3,5,W01000002,QUIN,PHYS
4,1324,W01000002,RANK,WIMD
5,1045,W01000002,RANK,INCOM
6,1272,W01000002,RANK,EMPL
7,1307,W01000002,RANK,HEAL
8,1591,W01000002,RANK,ED
9,693,W01000002,RANK,ATS
10,309,W01000002,RANK,HOUS
11,1613,W01000002,RANK,COMS
12,1894,W01000002,RANK,PHYS
13,5,W01000003,DEC,ATS
14,4,W01000003,DEC,COMS
15,4,W01000003,DEC,ED
16,3,W01000003,DEC,EMPL
17,4,W01000003,DEC,HEAL
18,5,W01000003,DEC,HOUS
19,3,W01000003,DEC,INCOM
20,10,W01000003,DEC,PHYS
21,3,W01000003,DEC,WIMD
22,2,W01000003,QUIN,WIMD
23,2,W01000003,QUIN,INCOM
24,2,W01000003,QUIN,EMPL
25,2,W01000003,QUIN,HEAL
26,2,W01000003,QUIN,ED
27,3,W01000003,QUIN,ATS
28,3,W01000003,QUIN,HOUS
29,2,W01000003,QUIN,COMS
30,5,W01000003,QUIN,PHYS
31,550,W01000003,RANK,WIMD
32,414,W01000003,RANK,INCOM
33,420,W01000003,RANK,EMPL
34,676,W01000003,RANK,HEAL
35,615,W01000003,RANK,ED
36,767,W01000003,RANK,ATS
37,766,W01000003,RANK,HOUS
38,667,W01000003,RANK,COMS
39,1776,W01000003,RANK,PHYS
40,2,W01000004,DEC,ATS
41,7,W01000004,DEC,COMS
42,5,W01000004,DEC,ED
43,6,W01000004,DEC,EMPL
44,7,W01000004,DEC,HEAL
45,7,W01000004,DEC,HOUS
46,6,W01000004,DEC,INCOM
47,10,W01000004,DEC,PHYS
48,6,W01000004,DEC,WIMD
49,3,W01000004,QUIN,WIMD
50,3,W01000004,QUIN,INCOM
51,3,W01000004,QUIN,EMPL
52,4,W01000004,QUIN,HEAL
53,3,W01000004,QUIN,ED
54,1,W01000004,QUIN,ATS
55,4,W01000004,QUIN,HOUS
56,4,W01000004,QUIN,COMS
57,5,W01000004,QUIN,PHYS
58,1100,W01000004,RANK,WIMD
59,1122,W01000004,RANK,INCOM
60,1004,W01000004,RANK,EMPL
61,1311,W01000004,RANK,HEAL
62,787,W01000004,RANK,ED
63,265,W01000004,RANK,ATS
64,1229,W01000004,RANK,HOUS
65,1284,W01000004,RANK,COMS
66,1827,W01000004,RANK,PHYS
67,7,W01000005,DEC,ATS
68,5,W01000005,DEC,COMS
69,2,W01000005,DEC,ED
70,7,W01000005,DEC,EMPL
71,8,W01000005,DEC,HEAL
72,5,W01000005,DEC,HOUS
73,5,W01000005,DEC,INCOM
74,8,W01000005,DEC,PHYS
75,6,W01000005,DEC,WIMD
76,3,W01000005,QUIN,WIMD
77,3,W01000005,QUIN,INCOM
78,4,W01000005,QUIN,EMPL
79,4,W01000005,QUIN,HEAL
80,1,W01000005,QUIN,ED
81,4,W01000005,QUIN,ATS
82,3,W01000005,QUIN,HOUS
83,3,W01000005,QUIN,COMS
84,4,W01000005,QUIN,PHYS
85,1065,W01000005,RANK,WIMD
86,917,W01000005,RANK,INCOM
87,1216,W01000005,RANK,EMPL
88,1430,W01000005,RANK,HEAL
89,336,W01000005,RANK,ED
90,1207,W01000005,RANK,ATS
91,786,W01000005,RANK,HOUS
92,796,W01000005,RANK,COMS
93,1510,W01000005,RANK,PHYS
94,2,W01000006,DEC,ATS
95,8,W01000006,DEC,COMS
96,7,W01000006,DEC,ED
97,6,W01000006,DEC,EMPL
98,7,W01000006,DEC,HEAL
99,3,W01000006,DEC,HOUS
100,7,W01000006,DEC,INCOM
101,10,W01000006,DEC,PHYS
102,6,W01000006,DEC,WIMD
103,3,W01000006,QUIN,WIMD
104,4,W01000006,QUIN,INCOM
105,3,W01000006,QUIN,EMPL
106,4,W01000006,QUIN,HEAL
107,4,W01000006,QUIN,ED
108,1,W01000006,QUIN,ATS
109,2,W01000006,QUIN,HOUS
110,4,W01000006,QUIN,COMS
111,5,W01000006,QUIN,PHYS
112,1116,W01000006,RANK,WIMD
113,1246,W01000006,RANK,INCOM
114,1003,W01000006,RANK,EMPL
115,1151,W01000006,RANK,HEAL
116,1203,W01000006,RANK,ED
117,251,W01000006,RANK,ATS
118,571,W01000006,RANK,HOUS
119,1459,W01000006,RANK,COMS
120,1881,W01000006,RANK,PHYS
121,2,W01000007,DEC,ATS
122,7,W01000007,DEC,COMS
123,7,W01000007,DEC,ED
124,7,W01000007,DEC,EMPL
125,8,W01000007,DEC,HEAL
126,1,W01000007,DEC,HOUS
127,7,W01000007,DEC,INCOM
128,9,W01000007,DEC,PHYS
129,6,W01000007,DEC,WIMD
130,3,W01000007,QUIN,WIMD
131,4,W01000007,QUIN,INCOM
132,4,W01000007,QUIN,EMPL
133,4,W01000007,QUIN,HEAL
134,4,W01000007,QUIN,ED
135,1,W01000007,QUIN,ATS
136,1,W01000007,QUIN,HOUS
137,4,W01000007,QUIN,COMS
138,5,W01000007,QUIN,PHYS
139,1036,W01000007,RANK,WIMD
140,1165,W01000007,RANK,INCOM
141,1178,W01000007,RANK,EMPL
142,1441,W01000007,RANK,HEAL
143,1321,W01000007,RANK,ED
144,211,W01000007,RANK,ATS
145,136,W01000007,RANK,HOUS
146,1332,W01000007,RANK,COMS
147,1633,W01000007,RANK,PHYS
148,10,W01000008,DEC,ATS
149,10,W01000008,DEC,COMS
150,10,W01000008,DEC,ED
151,9,W01000008,DEC,EMPL
152,9,W01000008,DEC,HEAL
153,8,W01000008,DEC,HOUS
154,9,W01000008,DEC,INCOM
155,9,W01000008,DEC,PHYS
156,10,W01000008,DEC,WIMD
157,5,W01000008,QUIN,WIMD
158,5,W01000008,QUIN,INCOM
159,5,W01000008,QUIN,EMPL
160,5,W01000008,QUIN,HEAL
161,5,W01000008,QUIN,ED
162,5,W01000008,QUIN,ATS
163,4,W01000008,QUIN,HOUS
164,5,W01000008,QUIN,COMS
165,5,W01000008,QUIN,PHYS
166,1820,W01000008,RANK,WIMD
167,1541,W01000008,RANK,INCOM
168,1647,W01000008,RANK,EMPL
169,1554,W01000008,RANK,HEAL
170,1756,W01000008,RANK,ED
171,1797,W01000008,RANK,ATS
172,1453,W01000008,RANK,HOUS
173,1740,W01000008,RANK,COMS
