area,Access to Services,Community Safety,Education,Employment,Health,Housing,Income,Physical Environment,WIMD
Isle of Anglesey 002A,1165,1624,1315,1319,1609,1443,1354,1673,1624
Isle of Anglesey 002B,153,1537,1633,1479,1597,718,1578,1880,1424
Gwynedd 007A,308,755,1522,1389,1348,1105,1455,1446,1394
Gwynedd 001A,339,49,771,1676,888,164,1457,1238,875
Gwynedd 016D,546,466,1176,1078,1347,855,1385,871,1222
Isle of Anglesey 009C,248,1383,963,1152,1102,194,1079,1682,954
Isle of Anglesey 003C,1029,378,525,210,450,900,246,1844,366
Isle of Anglesey 004B,747,608,841,1038,1190,1818,974,1887,1196
Isle of Anglesey 003G,1291,860,589,730,935,1712,730,1904,974
Isle of Anglesey 008D,1139,792,1270,1198,1223,1344,1161,1854,1442
Isle of Anglesey 004E,1178,949,730,894,833,1781,590,621,915
Gwynedd 002D,366,531,227,589,199,1136,184,1875,300
Gwynedd 001D,639,64,313,131,98,1459,165,1903,167
Gwynedd 006B,1187,255,1671,1082,1321,1138,1435,1836,1454
Gwynedd 008D,117,859,818,775,1039,127,610,1334,569
Gwynedd 009C,236,942,798,973,942,831,814,1647,862
Gwynedd 007D,246,1006,1330,1247,1525,314,1116,253,1006
Conwy 015B,535,1225,1099,858,1160,895,796,991,1000
Conwy 006A,1579,1795,1764,1513,1785,1836,1710,1697,1856
Conwy 006B,1527,1477,894,1422,1772,1422,1282,1822,1610
Conwy 007A,1816,372,1440,1491,1259,1393,1160,1800,1550
Conwy 007B,1090,391,591,463,759,53,479,1635,477
Conwy 008B,789,433,819,704,893,1163,574,1474,792
Conwy 001B,847,141,1284,481,1062,69,751,1163,623
Conwy 014B,40,1813,1265,1579,1486,57,1432,1630,968
Conwy 010E,1008,281,544,245,375,745,192,994,313
Denbighshire 016A,155,1144,1425,1124,1483,97,1213,992,953
Denbighshire 012C,791,1534,1466,1459,1263,1511,1437,1515,1581
Denbighshire 003B,996,1155,451,600,632,1236,483,938,646
Denbighshire 004A,972,828,306,460,157,1005,308,663,351
Denbighshire 004C,1059,226,398,33,83,581,205,1744,133
Denbighshire 017A,1226,835,633,760,487,870,667,1874,782
Denbighshire 017C,1587,948,898,792,554,944,644,1871,917
Denbighshire 004D,380,29,60,3,4,174,3,787,2
Denbighshire 004E,362,7,8,1,2,52,1,867,1
Denbighshire 004F,819,125,18,21,68,233,6,778,11
Flintshire 003B,865,483,402,786,575,580,519,561,568
Flintshire 015B,1552,1494,830,1414,1202,1547,1069,1322,1455
Denbighshire 010A,1696,968,1356,1208,1409,1298,1214,1644,1556
Flintshire 006B,172,1852,1554,1778,1792,686,1865,1684,1559
Flintshire 013D,1775,839,1795,1848,1852,1901,1859,1140,1876
Flintshire 001A,224,308,396,572,399,319,550,1033,409
Flintshire 019A,242,1692,1590,1810,1703,1437,1644,1645,1619
Flintshire 016C,1404,296,1024,955,1075,1414,983,942,1149
Flintshire 010D,1028,1743,1546,1773,1481,1822,1693,1680,1772
Flintshire 018B,1569,1602,1578,1785,1473,1594,1701,760,1763
Flintshire 015E,1381,1126,256,1045,795,1090,721,427,789
Wrexham 010B,765,102,54,318,174,706,118,1465,156
Wrexham 017B,974,487,559,550,424,455,569,1723,562
Wrexham 006C,1309,94,169,580,586,643,369,1777,433
Wrexham 011C,925,786,1105,1374,1358,471,1265,1785,1365
Wrexham 020G,1691,728,1674,1818,1598,1309,1627,1702,1778
Wrexham 014C,1714,1210,1439,1585,1255,1643,1654,1739,1737
Wrexham 009C,1531,81,757,1095,775,1071,829,1643,962
Wrexham 020I,1712,1748,1857,1907,1896,1841,1907,1454,1908
Wrexham 015D,391,492,1037,897,766,577,1044,1457,893
Wrexham 016D,386,693,992,791,600,1512,639,969,754
Powys 005B,167,1699,1485,1815,1650,1209,1743,1690,1561
Powys 010C,1577,1270,1113,1164,1636,1795,1124,1189,1532
Powys 001D,166,1671,1280,1638,1385,592,1372,1514,1313
Powys 012C,267,1898,1308,1453,1304,1032,1561,1556,1436
Powys 009A,554,435,322,434,303,1618,336,1677,412
Powys 015E,203,1151,1606,1315,1245,1095,1418,1587,1341
Ceredigion 009A,132,1531,1545,1169,1644,312,1471,1816,1213
Ceredigion 002B,672,47,944,1426,1030,46,1593,148,784
Ceredigion 005B,134,1786,1406,1214,1383,404,1142,639,1040
Ceredigion 010C,156,1510,1054,776,1180,1078,818,1577,891
Ceredigion 001D,254,1399,1381,1190,1085,1699,1131,1494,1266
Ceredigion 001E,182,1781,1686,1868,1619,1521,1659,1668,1604
Pembrokeshire 008A,118,1342,1341,1514,1594,1581,1552,1396,1402
Pembrokeshire 001C,86,1562,1419,1298,1361,117,1444,1432,1017
Pembrokeshire 002C,1303,941,510,688,1092,1191,747,1747,936
Pembrokeshire 006B,1332,776,1010,1328,1301,1450,1176,1094,1435
Pembrokeshire 011D,289,1628,879,1021,1015,934,981,334,928
Pembrokeshire 003B,97,1756,1182,1398,1607,721,1413,1795,1262
Pembrokeshire 004A,3,1727,1455,1539,1639,95,1180,1743,873
Pembrokeshire 010B,318,227,294,177,614,1429,316,1173,298
Pembrokeshire 013C,1093,325,607,679,754,993,801,920,770
Pembrokeshire 015B,466,188,45,100,247,812,65,1149,85
Pembrokeshire 011E,843,1462,1244,1302,1299,1654,1271,679,1452
Pembrokeshire 003D,95,1712,1296,1627,1586,418,1349,741,1170
Carmarthenshire 013B,1667,43,863,275,470,1164,363,534,434
Carmarthenshire 024A,1383,223,843,1336,668,1317,1185,351,1070
Carmarthenshire 024C,1112,452,815,692,943,325,807,1131,810
Carmarthenshire 021A,1454,739,891,558,1270,1027,652,702,896
Carmarthenshire 025B,866,1110,562,664,512,1199,645,1537,728
Carmarthenshire 008A,653,19,763,312,672,223,579,1224,418
Carmarthenshire 020B,671,566,384,475,508,1025,587,1225,528
Carmarthenshire 001C,115,1604,1059,1180,1399,443,1159,1450,1024
Carmarthenshire 022A,1045,239,773,444,761,263,518,319,499
Carmarthenshire 022C,621,698,458,415,355,650,375,352,395
Carmarthenshire 013E,1374,1697,1306,1101,1652,1277,1345,862,1544
Carmarthenshire 018D,240,1147,656,597,706,1085,529,268,543
Carmarthenshire 026D,1393,229,110,532,737,212,562,258,396
Swansea 015B,1252,800,526,1120,679,195,731,409,732
Swansea 005B,1702,624,872,774,657,1087,948,1771,1030
Swansea 012B,1728,1630,1717,1470,1330,1713,1403,1239,1722
Swansea 004A,1314,1819,1637,1466,1436,1813,1721,1364,1749
Swansea 004C,756,1471,1743,1666,1626,1839,1840,1653,1765
Swansea 010A,1091,62,1395,1235,949,1122,1126,570,1118
Swansea 003D,506,315,295,62,142,1186,54,816,95
Swansea 003F,1048,1293,1625,1599,1365,1725,1570,1017,1677
Swansea 009B,788,415,425,495,476,887,350,1183,467
Swansea 013D,605,314,123,112,283,943,111,941,147
Swansea 022E,1133,1362,1605,603,733,932,602,793,905
Swansea 019A,313,316,11,56,13,727,22,1416,18
Swansea 019B,287,443,47,23,9,605,27,1018,16
Swansea 007E,1263,1401,1389,1268,1110,1248,1497,898,1530
Neath Port Talbot 016A,1762,895,748,1266,1054,1737,1702,283,1407
Neath Port Talbot 003A,1094,1111,411,547,644,565,596,229,559
Neath Port Talbot 014D,1285,1238,428,500,498,1201,525,1367,628
Neath Port Talbot 010D,1283,1522,704,1027,722,742,1086,73,930
Neath Port Talbot 008A,616,213,100,65,132,568,154,81,82
Neath Port Talbot 013E,809,814,291,205,354,805,424,35,278
Neath Port Talbot 018A,565,807,679,920,1083,1010,1055,788,979
Neath Port Talbot 017F,1135,702,365,216,276,915,372,792,348
Bridgend 015A,1228,1667,1091,1139,963,1685,1033,830,1332
Bridgend 001E,1476,841,604,598,428,450,689,541,632
Bridgend 008A,641,1427,665,637,592,1116,852,1720,816
Bridgend 010B,1399,1171,1089,1034,1059,1695,1028,1102,1335
Bridgend 002A,1004,338,758,360,175,387,423,719,380
Bridgend 002D,1233,419,392,240,177,400,511,1088,334
Bridgend 018B,1043,1759,1535,1580,1427,1370,1409,1638,1669
Bridgend 003E,1793,1084,888,755,994,687,806,137,912
Bridgend 009E,1116,1619,1180,1194,880,1686,1273,1468,1439
Bridgend 004D,1674,1100,743,408,385,94,630,1184,526
Bridgend 004E,1271,680,394,322,190,285,564,1473,406
Bridgend 018C,1250,504,1295,234,555,321,516,1620,524
Bridgend 018E,771,1896,1709,1410,1610,1790,1544,1862,1706
Bridgend 007D,1371,748,578,820,669,1638,838,1399,949
The Vale of Glamorgan 004A,1815,1519,1600,1547,1725,1399,1567,1116,1759
The Vale of Glamorgan 010A,1780,1200,1504,1643,1381,1738,1623,993,1740
The Vale of Glamorgan 007D,1070,383,127,124,102,851,60,888,105
The Vale of Glamorgan 013F,1901,1043,1342,902,928,653,780,1155,1151
The Vale of Glamorgan 005D,1800,817,1832,1501,1445,769,1614,693,1643
Rhondda Cynon Taf 005A,1012,765,564,351,479,621,382,396,444
Rhondda Cynon Taf 005E,652,809,328,377,405,178,211,603,288
Rhondda Cynon Taf 003A,1115,522,705,563,696,761,736,1129,736
Rhondda Cynon Taf 003E,1779,1565,1808,1626,1697,1897,1845,1815,1886
Rhondda Cynon Taf 019B,1377,1114,600,627,496,589,938,458,737
Rhondda Cynon Taf 015B,569,759,531,368,318,1014,471,1501,463
Rhondda Cynon Taf 001A,1677,1229,1006,757,728,1562,896,210,996
Rhondda Cynon Taf 001C,1429,418,224,151,81,1113,141,841,176
Rhondda Cynon Taf 030C,627,1312,1000,937,918,1315,1068,1398,1139
Rhondda Cynon Taf 008A,344,788,10,20,3,369,12,1310,6
Rhondda Cynon Taf 018D,1395,722,550,696,677,416,755,775,730
Rhondda Cynon Taf 031C,1739,1755,1593,1695,1447,1827,1731,461,1755
Rhondda Cynon Taf 031D,1846,1909,1887,1879,1873,1903,1904,752,1904
Rhondda Cynon Taf 025B,1451,1000,908,1354,1095,1821,1506,1215,1518
Rhondda Cynon Taf 025C,1645,1101,1573,1408,1315,1872,1745,375,1651
Rhondda Cynon Taf 016C,1506,967,442,426,408,456,488,494,481
Rhondda Cynon Taf 024D,1117,1824,1555,1353,1215,1502,1559,1489,1641
Rhondda Cynon Taf 022F,384,1152,236,1862,1155,193,1806,311,937
Rhondda Cynon Taf 010A,1580,517,902,667,970,1204,783,179,869
