item_id,alternate_id
596,W92000004
512,W06000001
514,W06000002
516,W06000003
518,W06000004
520,W06000005
522,W06000006
524,W06000023
526,W06000008
528,W06000009
530,W06000010
532,W06000011
534,W06000012
536,W06000013
538,W06000014
540,W06000016
542,W06000024
544,W06000018
545,W06000019
546,W06000020
548,W06000021
550,W06000022
552,W06000015
7A1,W11000023
7A7,W11000024
7A2,W11000025
7A3x,W11000026
7A5x,W11000027
7A6,W11000028
7A4,W11000029
7A3,W11000031
7A5,W11000030
456,W09000034
447,W09000025
448,W09000026
450,W10000008
451,W09000044
452,W09000035
453,W09000036
445,W09000029
455,W09000037
457,W09000040
458,W09000039
410,W10000001
411,W09000001
412,W09000002
413,W09000003
414,W09000004
454,W09000038
440,W10000007
434,W09000021
435,W09000022
446,W09000046
437,W09000045
441,W09000047
442,W09000043
443,W09000031
444,W09000042
419,W09000009
415,W09000005
436,W09000023
417,W09000007
427,W09000015
418,W09000008
420,W10000006
421,W09000010
422,W09000011
423,W09000041
424,W09000012
426,W09000016
428,W09000017
430,W10000009
431,W09000018
432,W09000019
433,W09000020
416,W09000006
425,W09000014
582,W18000001
584,W18000002
586,W18000003
562,W15000004
564,W15000002
566,W15000001
568,W15000003
572,W25000002
574,W25000001
576,W25000003
562,W15000004
564,W15000002
566,W15000001
568,W15000003
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
