item,hierarchy,sort_order,lang,description,notes
ATS,,6,en-gb,Access to Services,
COMS,,7,en-gb,Community Safety,
ED,,5,en-gb,Education,
EMPL,,3,en-gb,Employment,
HEAL,,4,en-gb,Health,
HOUS,,9,en-gb,Housing,
INCOM,,2,en-gb,Income,
PHYS,,8,en-gb,Physical Environment,
WIMD,,1,en-gb,WIMD,
ATS,,6,cy-gb,Mynediad i Wasanaethau,
COMS,,7,cy-gb,Diogelwch Cymunedol,
ED,,5,cy-gb,Addysg,
EMPL,,3,cy-gb,Cyflogaeth,
HEAL,,4,cy-gb,Iechyd,
HOUS,,9,cy-gb,Tai,
INCOM,,2,cy-gb,Incwm,
PHYS,,8,cy-gb,Amgylchedd Ffisegol,
WIMD,,1,cy-gb,MALIC,
