YearCode,Start,End,DisplayName,ViewName,Type
201314,2013-04-06,2014-04-05,2013-14,fy13,fy
201415,2014-04-06,2015-04-05,2014-15,fy14,fy
201516,2015-04-06,2016-04-05,2015-16,fy15,fy
201617,2016-04-06,2017-04-05,2016-17,fy16,fy
201718,2017-04-06,2018-04-05,2017-18,fy17,fy
201819,2018-04-06,2019-04-05,2018-19,fy18,fy
201920,2019-04-06,2020-04-05,2019-20,fy19,fy
202021,2020-04-06,2021-04-05,2020–21,fy20,fy
202122,2021-04-06,2022-04-05,2021-22,fy21,fy
202223,2022-04-06,2023-04-05,2022-23,fy22,fy
